Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/04  04:00:00,117.704770828,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  05:00:00,118.138999504,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  06:00:00,118.101267571,0.0,0.0,0.0,43.513341876,52.539744,13.4525506881,0.0,4.83426,8.61829068814
 01/04  07:00:00,196.105167971,75.7303620347,0.0,0.0,43.513341876,53.238744,1557.09297851,1552.23871851,4.83426,0.02
 01/04  08:00:00,355.73227447,75.7303620347,0.0,0.0,220.879908,53.238744,1114.17319005,1091.79481748,4.83426,17.5441125768
 01/04  09:00:00,447.40490584,75.7303620347,0.0,0.0,220.879908,145.652643033,698.020332761,626.456121795,36.25695,35.3072609665
 01/04  10:00:00,456.051570216,75.7640192124,8.94423633063,0.0,220.879908,145.652643033,395.894928186,323.956162698,36.25695,35.6818154879
 01/04  11:00:00,518.37516134,76.5243881828,63.2992136522,0.0,220.879908,151.653867033,272.939729473,179.953593582,48.3426,44.6435358915
 01/04  12:00:00,561.586886448,77.9656815618,103.696691668,0.0,220.879908,151.653867033,192.378825506,99.2247005128,48.3426,44.8115249931
 01/04  13:00:00,607.862865772,79.4099335668,149.278696088,0.0,220.879908,151.653867033,166.205892055,72.9276424517,48.3426,44.9356496032
 01/04  14:00:00,657.122378462,80.2098825195,203.330219932,0.0,220.879908,145.652643033,127.727785819,49.5486144666,24.1713,54.0078713524
 01/04  15:00:00,687.822635931,79.7195416868,234.27513474,0.0,220.879908,145.652643033,83.8537073071,23.9862364138,24.1713,35.6961708932
 01/04  16:00:00,689.855125089,78.8901814477,244.5682558,0.0,220.879908,137.835547516,70.4912616181,20.970385113,4.83426,44.6866165052
 01/04  17:00:00,573.697076937,76.1690186554,134.002779265,0.0,220.879908,133.019064,63.1794614514,22.8654476594,4.83426,35.479753792
 01/04  18:00:00,422.332490639,75.7307660575,49.2266097926,0.0,220.879908,53.238744,120.235742239,79.925487752,4.83426,35.4759944869
 01/04  19:00:00,380.821835,75.7303620347,8.4838495967,0.0,220.879908,53.238744,175.077433182,134.635871111,4.83426,35.6073020714
 01/04  20:00:00,372.577131926,75.7303620347,0.0,0.0,220.879908,53.238744,182.535266425,169.016675793,4.83426,8.68433063242
 01/04  21:00:00,372.622023581,75.7303620347,0.0,0.0,220.879908,53.238744,337.024205745,323.513746248,4.83426,8.67619949639
 01/04  22:00:00,117.959274524,0.0,0.0,0.0,43.513341876,52.539744,13.509783439,0.0,4.83426,8.67552343896
